[73/100][0/93]	Loss_D: 0.0034	Loss_G: 35.8187	D(x): 0.9998	D(G(z)): 0.0031 / 0.0000
[73/100][50/93]	Loss_D: 0.0001	Loss_G: 66.8092	D(x): 0.9999	D(G(z)): 0.0000 / 0.0000
[74/100][0/93]	Loss_D: 0.0000	Loss_G: 67.5057	D(x): 1.0000	D(G(z)): 0.0000 / 0.0000
[74/100][50/93]	Loss_D: 0.0000	Loss_G: 66.7785	D(x): 1.0000	D(G(z)): 0.0000 / 0.0000
[75/100][0/93]	Loss_D: 0.0000	Loss_G: 67.5398	D(x): 1.0000	D(G(z)): 0.0000 / 0.0000
[75/100][50/93]	Loss_D: 0.0000	Loss_G: 66.9037	D(x): 1.0000	D(G(z)): 0.0000 / 0.0000
[76/100][0/93]	Loss_D: 0.0000	Loss_G: 66.9612	D(x): 1.0000	D(G(z)): 0.0000 / 0.0000
[76/100][50/93]	Loss_D: 0.0000	Loss_G: 65.6437	D(x): 1.0000	D(G(z)): 0.0000 / 0.0000
[77/100][0/93]	Loss_D: 0.0000	Loss_G: 65.9079	D(x): 1.0000	D(G(z)): 0.0000 / 0.0000
[77/100][50/93]	Loss_D: 0.0000	Loss_G: 67.4579	D(x): 1.0000	D(G(z)): 0.0000 / 0.0000
[78/100][0/93]	Loss_D: 0.0000	Loss_G: 67.2992	D(x): 1.0000	D(G(z)): 0.0000 / 0.0000
[78/100][50/93]	Loss_D: 0.0000	Loss_G: 67.8950	D(x): 1.0000	D(G(z)): 0.0000 / 0.0000
[79/100][0/93]	Loss_D: 0.0000	Loss_G: 67.0007	D(x): 1.0000	D(G(z)): 0.0000 / 0.0000
[79/100][50/93]	Loss_D: 0.0000	Loss_G: 66.4000	D(x): 1.0000	D(G(z)): 0.0000 / 0.0000
[80/100][0/93]	Loss_D: 0.0000	Loss_G: 66.0759	D(x): 1.0000	D(G(z)): 0.0000 / 0.0000
[80/100][50/93]	Loss_D: 0.0000	Loss_G: 66.3351	D(x): 1.0000	D(G(z)): 0.0000 / 0.0000
[81/100][0/93]	Loss_D: 0.0000	Loss_G: 67.5238	D(x): 1.0000	D(G(z)): 0.0000 / 0.0000
[81/100][50/93]	Loss_D: 0.0000	Loss_G: 67.4792	D(x): 1.0000	D(G(z)): 0.0000 / 0.0000
[82/100][0/93]	Loss_D: 0.0000	Loss_G: 66.6390	D(x): 1.0000	D(G(z)): 0.0000 / 0.0000
[82/100][50/93]	Loss_D: 0.0000	Loss_G: 66.9358	D(x): 1.0000	D(G(z)): 0.0000 / 0.0000
[83/100][0/93]	Loss_D: 0.0000	Loss_G: 67.0432	D(x): 1.0000	D(G(z)): 0.0000 / 0.0000
[83/100][50/93]	Loss_D: 0.0000	Loss_G: 66.4632	D(x): 1.0000	D(G(z)): 0.0000 / 0.0000
[84/100][0/93]	Loss_D: 0.0000	Loss_G: 65.6064	D(x): 1.0000	D(G(z)): 0.0000 / 0.0000
[84/100][50/93]	Loss_D: 0.0000	Loss_G: 66.0089	D(x): 1.0000	D(G(z)): 0.0000 / 0.0000
[85/100][0/93]	Loss_D: 0.0000	Loss_G: 67.7218	D(x): 1.0000	D(G(z)): 0.0000 / 0.0000
[85/100][50/93]	Loss_D: 0.0000	Loss_G: 66.8394	D(x): 1.0000	D(G(z)): 0.0000 / 0.0000
[86/100][0/93]	Loss_D: 0.0000	Loss_G: 67.5821	D(x): 1.0000	D(G(z)): 0.0000 / 0.0000
[86/100][50/93]	Loss_D: 0.0000	Loss_G: 66.3625	D(x): 1.0000	D(G(z)): 0.0000 / 0.0000
[87/100][0/93]	Loss_D: 0.0000	Loss_G: 65.8536	D(x): 1.0000	D(G(z)): 0.0000 / 0.0000
[87/100][50/93]	Loss_D: 0.0000	Loss_G: 66.6902	D(x): 1.0000	D(G(z)): 0.0000 / 0.0000
[88/100][0/93]	Loss_D: 0.0000	Loss_G: 66.8852	D(x): 1.0000	D(G(z)): 0.0000 / 0.0000
